eid	title	author	pages
CYC63A01	Survey of Operating Sector-Focused Cyclotrons	R. S. Livingston	1-7
CYC63A02	Operation of the {Berkeley} 88-Inch Cyclotron	H. A. Grunder and F. B. Selph	8-17
CYC63A03	Diagnosis and Correction of Beam Behaviour in an Isochronous Cyclotron	A. A. Garren and L. Smith	18-23
CYC63A04	The Relativistic Isochronous Cyclotron at {Karlsruhe}	H. Steimel	24-30
CYC63A05	Operating Experience with the {University of Colorado} Cyclotron	J. J. Kraushaar and D. A. Lind and M. E. Rickey and W. R. Smythe	31-38
CYC63A06	Preliminary Operational Experience with the {University of Michigan} 83-Inch Sector-Focused Cyclotron	W. C. Parkinson and R. S. Tickle	39-42
CYC63A07	The {Philips} {AVF} Prototype Cyclotron	N. F. Verster and W. Bähler and A. J. J. Franken and J. Geel and H. L. Hagedoorn and P. Kramer and J. Zwanenburg	43-47
CYC63B01	Beam Extraction from Sector-Focused Cyclotrons	J. A. Martin	48-51
CYC63B02	Beam Extraction from Analogue {II}	J. A. Martin and F. M. Russell and Richardson, Jr., E. G. and  H. L. Dickerson	52-58
CYC63B03	Operating Experience with the {Berkeley} 88-Inch Electrostatic Deflector	H. A. Grunder and F. B. Selph and H. Atterling	59-72
CYC63B04	Operation of the Regenerative Extraction System on the {University of Birmingham} 40-Inch Cyclotron	H. Kim and G. H. MacKenzie and W. B. Powell and P. J. Waterton	73-79
CYC63B05	A Modified Regenerative Extractor System for a Synchro-Cyclotron	de Kruiff, G. T. and N. F. Verster	80-84
CYC63C01	Sector-Focused Cyclotrons for Nuclear Physics Research	A. Zucker	85-92
CYC63C02	Physics of Meson Factories	G. Bernardini	93-100
CYC63C03	Negative Ion Acceleration and Related Measurements	J. W. Verba and W. Kündig and A. C. Paul and J. R. Richardson and B. T. Wright	101-106
CYC63C04	Polarized Particles in Cyclotrons	J. Thirion	107-117
CYC63C05	Depolarization Process in Sector-Focusing Cyclotrons	T. K. Khoe and L. C. Teng	118-126
CYC63C06	Characteristics of the {CERN} Polarized Proton Source	L. Dick and Ph. Lévy and J. Vermeulen	127-129
CYC63D01	A Review of Beam Layouts and Experimental Facilities for Sector-Focused Cyclotrons	E. L. Kelly	130-137
CYC63D02	Experimental Facilities and Resolution Capability of the {MSU} Cyclotron	H. G. Blosser and J. W. Butler	138-143
CYC63D03	Neutron Beam from the {UCLA} Spiral-Ridge Cyclotron	C. M. York and C. Ward and E. Tagliaferri and D. Hansen and J. Ewins and A. Berick	144-148
CYC63D04	Beam Optics Studies for the {Mc²} Cyclotron	E. E. Gross	149-151
CYC63D05	The Effect of Duty Cycle on the Research Potential of Pion Factories	K. M. Crowe and R. P. Haddock	152-156
CYC63D06	Shielding and Activation of High-Intensity Cyclotrons	J. P. Blaser and Ch. Perret and M. Barbier and J. Dutrannois	157-164
CYC63D07	Residual Radiation Levels in the {ORNL} {Mc²} Cyclotron	C. B. Fulmer and K. S. Toth and J. B. Ball	165-170
CYC63D08	Design of Target Shields and Beam Catchers at Cyclotron Energies	M. Barbier and C. B. Fulmer	171-174
CYC63E01	Orbit Studies for a 72-Inch Cyclotron with Large Spiral Angle	L. W. Baumhoff and F. P. Brady and G. A. Carlson and J. A. Jungerman and J. A. McCray	175-182
CYC63E02	A Computer Programme for Determination of Cyclotron Fields	N. Vogt-Nilsen	183-189
CYC63E03	Solution of Potential Problems for Variable Permeability Materials by Computer Technique	B. Berkes	190-192
CYC63E04	Central-Region Studies for the {MSU} Cyclotron	H. G. Blosser and M. Reiser and M. M. Gordon	193-202
CYC63E05	Central-Region Factors Influencing the Duty Cycle of a Cyclotron Beam	M. Reiser	203-208
CYC63E06	A Centre-Region Model of a Three-Sector Cyclotron	D. J. Clark	209-213
CYC63E07	The Central Region of the {Philips} {AVF} Cyclotron	P. Kramer and H. L. Hagedoorn and N. F. Verster	214-221
