eid	title	author	firstpage	lastpage	pages
A-01	Invited Paper: Running in of {VICKSI} and First Operating Experience	K. Ziegler	1872	1878	1872-1878
A-02	Invited Paper: Status of the {Kiev} 240-{cm} Cyclotron Facility	Yu. G. Basargin and V. A. Belyakov and A. S. Fedorov and V. A. Glukhikh and O. A. Gusev and L. E. Korolev and R. N. Litunovsky and I. F. Malishev and O. A. Minyaev and A. V. Stepanov and A. F. Linev and A. I. Malofeev and O. F. Nemets and K. J. Ol’khovsky and V. A. Pashin	1879	1881	1879-1881
A-03	Invited Paper: Operation of the Variable Energy Cyclotron at {Calcutta}	A. S. Divatia	1882	1888	1882-1888
A-04	Invited Paper: Status Report on {GANIL}	J. Fermé	1889	1895	1889-1895
A-05	Invited Paper: The Status of the {South African National Accelerator Centre}	A. H. Botha	1896	1903	1896-1903
A-06	Invited Paper: Recent Developments at the {Osaka} {RCNP} 230-{cm} Cyclotron and a Proposal for a New Ring Accelerator	M. Kondo	1904	1911	1904-1911
A-07	Status of Cyclotron Facility in {Alma-Ata}	O. K. Anisimov and A. A. Arzumanov and V. N. Batischev and V. I. Gerasimov and M. S. Gorkovets and V. G. Kruglov and B. A. Volkov and A. M. Voronin	1912	1914	1912-1914
A-08	Status of the Separated Sector Booster at {Grenoble}	J. L. Belmont and M. Lieuvin and J. M. Loiseaux	1915	1918	1915-1918
A-09	The {Orsay} {200 MeV} Synchrocyclotron	A. Laisné and P. Debray and {S.C. Conversion Staff}	1919	1922	1919-1922
A-10	First Studies of the External Beam from the {Orsay} {S.C.} {200 MeV}	L. Bimbot	1923	1926	1923-1926
A-11	Status Report on the {C.N.R.S. Orleans}’ Cyclotron	G. Goin	1927	1929	1927-1929
A-12	The Tohoku University 680 Model Cyclotron and Facility	S. Morita and M. Fujioka and H. Orihara and J. Abe and K. Fujii and M. Maruyama and T. Mita and T. Takayama and S. Tazawa and M. Yamamoto and C. Yoshimura	1930	1933	1930-1933
A-13	Design of a Vacuum Chamber for the Magnets of a Separated Sector Cyclotron	F. J. Mumford and P. G. Blaine and H. N. Jungwirth	1934	1937	1934-1937
A-14	The Vacuum Chamber of the {GANIL} {SSC}	J. M. Baze and P. Bernard and M. Feldmann and C. Lecoeur	1938	1939	1938-1939
A-15	The {GANIL} Magnet	D. Bibet and A. Dael and M. Ohayon	1940	1943	1940-1943
A-16	The {GANIL} Injector Design	P. Attal and E. Baron and C. Bieth and M. P. Bourgarel and R. Gayraud and C. Pagani	1944	1949	1944-1949
B-01	Invited Paper: Recent and Future Developments at {S.I.N.}	W. Joho	1950	1957	1950-1957
B-02	Invited Paper: Recent Developments at {TRIUMF}	K. L. Erdman	1958	1964	1958-1964
B-03	Invited Paper: {IUCF} Status Report	R. E. Pollock	1965	1969	1965-1969
B-04	Invited Paper: A Survey of Synchrocyclotron Projects	D. W. Storm	1970	1975	1970-1975
B-05	Status Report on the {University of Manitoba} Cyclotron	J. Anderson and R. Batten and J. Bruckshaw and M. de Jong and M. I. Gusdal and G. Knote and F. Konopasek and A. McIlwain and J. S. C. McKee and S. Oh and R. Pogson	1976	1978	1976-1978
B-06	Status Report on {CERN} {SC}	B. W. Allardyce and A. Fiebig and G. Le Dallic and J. H. B. Madsen and P. H. Standley	1979	1983	1979-1983
B-07	Status of the {INS} {176 cm} Sector Focusing Cyclotron	K. Sato and M. Fujita and Y. Hirao and T. Honma and Y. Ohshiro and Y. Sakurada and M. Sekiguchi and T. Tanabe and N. Yamazaki and T. Yamazaki	1984	1987	1984-1987
B-08	Status Report on the {NIRS-CHIBA Isochronous Cyclotron Facility}	H. Ogawa and T. Hiramoto and Y. Kumamoto and Y. Sato and T. Yamada	1988	1991	1988-1991
B-09	Status Report on the {K.V.I.} Cyclotron	O. C. Dermois and A. G. Drentje and H. W. Schreuder	1992	1995	1992-1995
B-10	Heavy Ion Acceleration in the {Kurchatov} Institute Cyclotron	N. Venikov and N. Chumakov and E. Hodakov and L. Judin and Ju. Jupinov and S. Latushkin and V. Rezvov and V. Unezhev	1996	1999	1996-1999
B-11	The Injection in {IPCR} Separated Sector Cyclotron	T. Wada and J. Fujita and H. Kamitsubo and I. Kohno and N. Kumagai and S. Motonaga and H. Nakajima and N. Nakanishi and T. Nomura and K. Ogiwara and H. Takebe and F. Yoshida	2000	2003	2000-2003
B-12	{McGill} Synchrocyclotron Improvements	G. Bavaria and J. E. Crawford and R. B. Moore	2004	2006	2004-2006
B-13	Beam Quality Improvement at {JULIC}	J. Reich and R. Brings and J. Linz and P. Wucherer	2007	2011	2007-2011
B-14	Magnetic Field Design for a Combined Fixed Frequency and Frequency Modulated Cyclotron	S. Holm and P.-U. Renberg	2012	2015	2012-2015
B-15	Design of the New Trim Coils at the {Karlsruhe} Isochronous Cyclotron	V. Bechtold and L. Friedrich and L. Wiss	2016	2019	2016-2019
B-16	An Axi-Symmetric High Flux Muon Channel	D. E. Lobb	2020	2023	2020-2023
