eid	title	author	firstpage	lastpage	pages
A-1	Mechanical Design of {LASL} Linac Structures - ({LAMPF})	H. G. Worstell	1	16	1-16
A-2	The {Brookhaven} {200 MeV} Linac Injector Construction Progress Report	P. Grand	17	29	17-29
A-3	Mechanical Design Features of the {NAL} {200 MeV} Linac Injector	J. O’Meara and M. Palmer	30	40	30-40
A-4	Accelerator Magnet Development at {CRNL}	A. Harvey and F. P. Blackstein and A. J. Otter and W. A. Wolfe	41	51	41-51
A-5	High Gradient Magnetic Drift Tube Quadrupoles	R. M. Main and K. Halbach and D. Kolody and P. Kennedy and A. Watanabe and R. Yourd	52	59	52-59
A-6	A New Technique for High Precision Alignment of Linear Accelerators	H. D. Betz	60	67	60-67
B-1	{RF} Sources Development at {CRNL}	P. J. Waterton	68	75	68-75
B-2	{805 MHz} Power Sources for the {LAMPF} Accelerator	D. C. Hagerman	76	86	76-86
B-3	{LAMPF} {200 MHz} Power Sources	J. R. Faulkner and Boyd, Jr., T. J.	87	90	87-90
B-4	High Duty Factor Modulator for {Los Alamos Meson Physics Facility}	T. G. VanVessem	91	93	91-93
B-5	A New Pulse Modulator for the Zero Gradient Synchrotron Linac	J. Abraham and N. Sesol	94	100	94-100
B-6	Fault Protection Circuitry for the {LASL} {201.25 MHz} Power Amplifiers	J. D. Doss	101	107	101-107
B-7	Transient Beam Loading in Standing Wave Linacs	M. J. Lee	108	113	108-113
B-8	Steady-State Beam Loading of a Standing Wave Linac {RF} System	M. J. Lee	114	122	114-122
C-1	Control System Philosophy from the Nuclear Reactor Field	A. Pearson	123	133	123-133
C-2	{LAMPF} Control Philosophy	R. A. Gore	134	139	134-139
C-3	Programs for Computer Control of {EPA}	M. D. J. MacRoberts and S. Ohlsen and C. M. Plopper and D. D. Simmonds and R. F. Thomas	140	148	140-148
C-4	Automatic Control of {RF} Amplifier Systems	R. A. Jameson	149	158	149-158
C-5	Temperature Control for Maintaining Resonance of Linac Tanks	G. R. Swain and R. A. Gore and R. A. Jameson	159	167	159-167
C-6	Emittance Measurement at the {CERN PS} Linac with an On-Line Computer	U. Tallgren and U. Kracht and van der Schueren, A.	168	174	168-174
C-7	A Real-Time Sampling Beam Position Monitor	J. M. Potter	175	189	175-189
C-8	A Nondestructive Linac Beam Profile Monitor	W. H. DeLuca and M. F. Shea	190	197	190-197
C-9	Beam Diagnostics of the {50 MeV} Proton Linear Accelerator of the {Argonne} {Zero Gradient Synchrotron}	M. E. Abdelaziz and R. Perry	198	219	198-219
C-10	Phase Shift of Beam Bunches as a Function of Linac Accelerating Gradient	R. Perry and J. Abraham	220	227	220-227
D-1	Recent Progress in Linac Pre-Accelerators	Th. J. M. Sluyters	228	239	228-239
D-2	The New {SATURNE} Injector Status Report on the {750 keV} Preinjector	J. Faure	240	250	240-250
D-3	Discussion of {H.V.} Power Supply Units Connected with High Gradient Tubes in Linac Preinjectors	V. J. Kovarik and Th. J. M. Sluyters	251	268	251-268
D-4	Preliminary Study of a Higher Energy Preinjector for the {CERN PS}	J. Huguenin and U. Tallgren and M. Weiss	269	292	269-292
D-5	The {LASL} High-Duty-Factor Ion Source	C. R. Emigh and D. W. Mueller	293	305	293-305
D-6	A Comparative Study of Drifting Arc and Extended Stationary Arc Duoplasmatrons	J. A. Fasolo	306	316	306-316
E-1	Bunching	P. M. Lapostolle	317	327	317-327
E-2	Design of a Buncher and the Transport System in its Drift Space for the {200 MeV} {BNL} Injector Linac	C. Agritellis and R. W. Chasman	328	337	328-337
E-3	Double-Drift Buncher	C. R. Emigh	338	345	338-345
E-4	Longitudinal Space-Charge Effects in Bunchers	G. E. Lee-Whiting and J. H. Ormrod	346	352	346-352
E-5	Phase Space Acceptance of a Quadrupole Doublet Analytic Expressions and Numerical Results	E. Regenstreif	353	356	353-356
E-6	Acceptance Calculations for Accelerator Beam Lines	F. P. Blackstein	357	363	357-363
E-7	The Beam Transport Design for the {LAMPF} Injector	P. W. Allison and Stevens, Jr., R. R.	364	371	364-371
E-8	Numerical Calculations of the Effects of Space Charge on Six Dimensional Beam Dynamics in Proton Linear Accelerators	R. W. Chasman	372	388	372-388
E-9	Multimode and Resonance Effects in Transverse Beam Blow-Up	R. L. Gluckstern and S. C. Prasad	389	394	389-394
E-10	A Unified Theory on Beam Dynamics in Proton Linacs	T. Nishikawa	395	399	395-399
E-11	Electromagnetic Field of Traveling Charge in Beam Duct	H. Hirakawa	400	408	400-408
E-12	Longitudinal and Transverse $T$ and $S$ Transit Time Coefficients	B. Schnizer	409	415	409-415
E-13	Reduction of Energy Spread on the {Rutherford} Laboratory {PLA}	A. Carne and J. M. Dickson and S. Norcliffe and J. S. Webb and K. Batchelor	416	425	416-425
