		chair
A1	Monday Morning (8:30 - 10:30)	E. A. Knapp
A2	Monday Morning (10:40 - 12:00)	E. A. Knapp
B	Monday Afternoon - Posters	
C	Monday Evening (20:00 - 21:40)	D. Young
D1	Tuesday Morning (08:30 - 10:10)	L. Teng
D2	Tuesday Morning (10:40 - 12:00)	G. Loew
E	Tuesday Afternoon - Posters	
F	Tuesday Evening (20:00 - 21:40)	D. Swenson
G1	Thursday Morning (08:30 - 10:10)	P. Morton
G2	Thursday Morning (10:40 - 12:00)	R. Martin
H	Thursday Afternoon - Posters	
I	Thursday Evening (20:00 - 21:40)	D. C. Hagerman
J1	Friday Morning (08:30 - 10:10)	J. Blewett
J2	Friday Morning (10:40 - 12:00)	D. Sutter
