eid	title	author	firstpage	lastpage	pages
2970	The {19 GeV} {e⁺-e⁻} Storage Ring {PETRA}	G. A. Voss	2970	2973	2970-2973
2974	The {CERN} Proton-Antiproton Colliding Beam Facilities	R. Billinge, M. C. Crowley-Milling	2974	2977	2974-2977
2978	The {U.S.} High Energy Accelerator Projects {CESR}, {PEP}, {Doubler-Tevatron}, and {ISABELLE}	B. D. McDaniel	2978	2985	2978-2985
2986	High-Intensity Deuteron Linear Accelerator ({FMIT})	R. A. Jameson	2986	2991	2986-2991
2992	Particle Accelerators in Cancer Therapy - Current Status and Overview of the Planned Program for Heavy Particle Therapy	J. R. Stewart	2992	2996	2992-2996
2997	Recent Progress and Plans for Heavy Ion Fusion	T. F. Godlove	2997	3001	2997-3001
3002	The {Linear Accelerator Fuel Enricher Regenerator (LAFER)} and {Fission Product Transmutor (APEX)}	M. Steinberg and P. Grand and H. J. C. Kouts and J. R. Powell and H. Takahashi	3002	3002	3002
3003	High Purity Radioactive Beams at the {Bevalac}	J. R. Alonso and A. Chatterjee and C. A. Tobias	3003	3005	3003-3005
3006	Commissioning of the {Argonne} {Intense Pulsed Neutron Source (IPNS-I)} Accelerator	A. V. Rauchas and F. R. Brumwell and G. J. Volk	3006	3008	3006-3008
3009	Progress Report on Testing of a 100-{kV}, 125-{mA} Deuteron Injector	D. D. Armstrong and E. A. Meyer and H. L. Rutkowski and J. D. Schneider	3009	3011	3009-3011
3012	Choice of Geometry for the {Alvarez} Section of the {FMIT} Deuteron Linac	G. P. Boicourt and D. A. Swenson	3012	3014	3012-3014
3015	The {FMIT} Accelerator Vacuum System	M. D. Machalek and E. A. Meyer and L. S. Price	3015	3017	3015-3017
3018	A Proposed {RF} System for the {Fusion Materials Irradiation Test Facility}	M. V. Fazio and T. J. Boyd and W. J. Hoffert and H. P. Johnson	3018	3020	3018-3020
3021	{Intense Pulsed Neutron Source (IPNS-I)} Accelerator {RF} System	T. W. Hardek and F. E. Brandeberry	3021	3023	3021-3023
3024	{Intense Pulsed Neutron Source (IPNS-I)} Accelerator {500 MeV} Fast Kickers	D. E. Suddeth and G. J. Volk	3024	3025	3024-3025
3026	Electron Model Experiment to Study Instabilities in Long Periodic Focusing Systems for Intense Beams	M. Reiser and M. A. Brennan and W. Namkung	3026	3028	3026-3028
3029	Bunched Beam Neutralization	G. M. Gammel and A. W. Maschke and R. M. Mobley	3029	3030	3029-3030
3031	Longitudinal Motion in High Current Ion Beams — A Self-Consistent Phase Space Distribution with an Envelope Equation	D. Neuffer	3031	3033	3031-3033
3034	A {Minus-I} Quadrupole System for Containing Aberration-Correction Octupoles	S. Fenster	3034	3035	3034-3035
3036	Operation of a High-Current Xenon Source	W. Chupp and D. Clark and R. Richter and J. Staples and E. Zajec	3036	3038	3036-3038
3039	{500 kV} Mercury Accelerator	J. Brodowski and J. T. Keane and A. W. Maschke and E. Meier and R. M. Mobley	3039	3041	3039-3041
3042	Transport Experiments with Neutralized and Space Charge Dominated Denutralized {2 mA} {80 keV} {Xe⁺¹} Beams	M. G. Mazarakis and R. J. Burke and E. P. Colton and S. Fenster and J. S. Moenich and D. K. Nikfarjam and D. W. Price and N. Q. Sesol and J. M. Watson	3042	3044	3042-3044
3045	A {12.5 MHz} Heavy Ion Linac for Ion Beam Fusion	A. Moretti and R. J. Burke and E. P. Colton and M. H. Foss and T. K. Khoe and J. S. Moenich and J. M. Watson	3045	3047	3045-3047
3048	A Preconceptual Accelerator-Breeder Design for Fissile Material and Energy Production	P. S. K. Lam	3048	3049	3048-3049
3050	High-Energy Beam Transport in the Hanford {FMIT} Linear Accelerator	K. E. Melson and C. Caldwell and Jr. and D. D. Chamberlin and T. Cole and J. A. Farrell and P. Giles and D. J. Liska and C. Potter and M. K. Wilson	3050	3051	3050-3051
3052	Design of the Accelerating Structures for {FMIT}	D. Liska and D. Clark and J. Frank and C. Fuller and D. Greenwood and C. Potter and R. Schamaun	3052	3054	3052-3054
3055	Tests of the {Intense Neutron Source (INS)} Prototype	D. D. Armstrong and C. R. Emigh and J. C. Hyde and E. A. Meyer and J. D. Schneider	3055	3057	3055-3057
3058	{RTNS-II Neutron Sources}: Status Report	J. C. Davis and D. W. Heikkinen and J. L. Held and C. M. Logan and J. E. Osher	3058	3060	3058-3060
3061	The {TRIUMF} Thermal Neutron Facility	J. J. Burgerjon and A. S. Arrott and R. E. Blaby and T. A. Hodges and R. R. Langstaff and T. L. Templeton and I. M. Thorson	3061	3064	3061-3064
3065	High Current {DC} Ion Source Development at {CNRL}	M. R. Shubaly	3065	3067	3065-3067
3068	The {Fermilab Cancer Therapy Facility}: Status Report After 2.5 Years of Operation	M. Awschalom and L. Grumboski and A. F. Hrejsa and G. M. Lee and I. Rosenberg	3068	3070	3068-3070
3071	Pion Beam Development for the {LAMPF} Biomedical Project	M. Paciotti and H. Amols and J. Bradbury and K. Hogstrom and H. Inoue and D. Laubacher and O. Rivera and S. Sandford and A. Smith	3071	3073	3071-3073
3074	The {Bevalac} Radiotherapy Facility	J. R. Alonso and T. Criswell and J. Howard	3074	3076	3074-3076
3077	Computed Tomographic Reconstruction of Beam Profiles with a Multi-Wire Chamber	J. R. Alonso and W. T. Chu and C. A. Tobias	3077	3079	3077-3079
3080	Stability of Intense Transported Beams	L. J. Laslett and L. Smith	3080	3082	3080-3082
3083	Fluid and Vlasov Stability of Intense Ion Beams in Periodic Channels	I. Hofmann	3083	3085	3083-3085
3086	Transport Calculations for Very High Current Beams	S. Penner and A. Galejs	3086	3089	3086-3089
3090	Space Charge Limited Transport and Bunching of Non {K-V} Beams	I. Haber	3090	3091	3090-3091
3092	Telescoping Beams for Heavy Ion Fusion	R. J. Burke	3092	3094	3092-3094
3095	Large Aperture Contact Ionized {Cs⁺¹} Ion Source for an Induction Linac	S. Abbott and W. Chupp and A. Flatens and W. Herrmannsfeldt and E. Hoyer and D. Keefe and C. H. Kim and S. Rosenblum and J. Shiloh	3095	3097	3095-3097
3098	A High Intensity 1.5 Megavolt Heavy Ion Preaccelerator for Ion Beam Fusion	J. M. Watson and J. M. Bogaty and R. J. Burke and R. L. Martin and M. G. Mazarakis and K. K. Menefee and E. F. Parker and R. L. Stockley	3098	3100	3098-3100
3101	A 100-{mA} Low-Emittance Ion Source for Ion-Beam Fusion	R. P. Vahrenkamp and R. L. Seliger	3101	3103	3101-3103
3104	Buncher Cavity Resonant at the First and Second Harmonic	M. H. Foss	3104	3105	3104-3105
3106	Design/Cost Study of an Induction Linan for Heavy Ions for Pellet-Fusion	A. Faltens and E. Hoyer and D. Keefe and L. J. Laslett	3106	3108	3106-3108
3109	System Design of Heavy Ion Fusion Experiment	S. Kawasaki and A. Miyahara	3109	3111	3109-3111
3112	{Gabor} Lenses	R. M. Mobley and G. Gammel and A. W. Maschke	3112	3114	3112-3114
3115	Progress in Space Charge Lens Development	H. W. Lefevre and R. Booth	3115	3117	3115-3117
3118	Design of a {Magnetic Linear Accelerator (MAGLAC)} as Driver for {Impact Fusion (IF)}	K. W. Chen and R. W. Hartung and E. Lehman and S. D. Mahanti	3118	3123	3118-3123
3124	On the Status of Accelerator Facilities and Their Progress in {Japan}	K. Kikuchi	3124	3129	3124-3129
3130	Design Study of a Large Electron-Positron Colliding Beam Machine-{LEP}	W. Schnell	3130	3134	3130-3134
3135	{DORIS} at {2 × 5 GeV}	D. Degele and W. Bothe and H. C. Dehne and A. Febel and H. Gerke and D. Heins and G. Hemmie and K. Hoffmann and K. Holm and E. Jandt and R. D. Kohaupt and H. Kumpfert and G. Mulhaupt and H. Narciss and H. Nesemann and S. Patzold and A. Piwinski and R. Rossmanith and J. Susta and K. Wille and A. Wrulich	3135	3137	3135-3137
3138	Status Report in Rejuvenating {SATURNE} and Future Aspects	J. P. Aknin and J. P. Auclair and D. Boireau and A. Cabrespine and P. A. Chamouard and J. C. Ciret and L. Degueurce and J. Faure and C. Fougeron and P. Gavard and J. Geard and A. Gorry and E. Grorud and J. L. Hamel and C. Henriot and C. Herve and J. L. LaClare and P. Leaux and H. Lecroart and J. M. Lefebvre and G. Leleux and J. L. Lemaire and G. Matichard and G. Milleret and C. N'Guyen Kanh and A. Nakach and M. Olivier and J. P. Penicaud and A. Ropert and L. Roussier and R. Schoen and J. Sole and J. Tilmont and B. Tournesac and R. Vienet	3138	3142	3138-3142
3143	Operating Experience with {MUSL-2}	P. Axel and L. S. Cardman and H. D. Graef and A. O. Hanson and R. A. Hoffswell and D. Jamnik and D. C. Sutton and R. H. Taylor and L. M. Young	3143	3145	3143-3145
3146	Acceleration of Polarized Electronics in the {2.5 GeV} Synchrotron at {Bonn}	W. Brefeld and V. Burkert and E. Ehses and M. Hofmann and D. Husmann and G. Knop and W. Paul and H. R. Schaefer and von Drachtenfels, W.	3146	3148	3146-3148
3149	The Multiturn Charge Exchange Injection System for the {Fermilab} Booster Accelerator	C. Hovjat and C. Ankenbrandt and B. Brown and D. Cosgrove and J. Garvey and R. P. Johnson and M. Joy and J. Lackey and K. Meisner and T. Schmitz and L. Teng and R. C. Webber	3149	3151	3149-3151
3152	A Superconducting Storage Ring for Very Slow Neutrons	K. J. Kügler and W. Paul and U. Trinks	3152	3154	3152-3154
3155	Performance of the {CERN} {ISR} at {31.4 GeV}	C. Fischer and P. Jacquiot and J. P. Koutchouk and F. Lemeilleur and D. Lewis and S. Myers and D. Neet and H. O’Hanlon and T. Risselada and L. Vos	3155	3157	3155-3157
3158	Initial Operation of the {Fermilab} Antiproton Cooling Ring	D. B. Cline and J. C. Gannon and E. R. Gray and J. Griffin and F. R. Huson and D. E. Johnson and W. Kells and P. McIntyre and F. E. Mills and C. D. Moore and L. Oleksiuk and T. G. Rhoades and M. F. Shea and D. E. Young	3158	3160	3158-3160
3161	A Report on the Operational Reliability of the {Fermilab} Main Ring Magnets	R. E. Gerig	3161	3163	3161-3163
3164	{ALFA}, Feasibility Study of an Electron Pulse Stretcher to Increase the Duty Factor of the {Frascati} Linac	S. Guiducci and G. Martinelli and M. A. Preger	3164	3166	3164-3166
3167	{AGS} Slow Extraction Improvements	J. W. Glenn and L. Repeta and J. N. Sandberg and G. A. Smith and H. Weisberg	3167	3169	3167-3169
3170	Slow Extraction from {KEK-PS} Main Ring	K. Endo and Y. Kimura and S. Mitsunobu and S. Ninomiya and Y. Sakamoto and H. Sato and Y. Takeuchi and S. Tokumoto	3170	3172	3170-3172
3173	Design of an Additional Extraction/Injection Area for the {Fermilab} Booster	B. C. Brown and C. M. Ankenbrandt and D. Cosgrove and J. D. Garvey and R. P. Johnson and K. Meisner	3173	3175	3173-3175
3176	The Present Performance of the {SPS}	W. P. C. Mills	3176	3178	3176-3178
3179	A Superconducting High-Luminosity Insertion in the {Intersecting Storage Rings (ISR)}	J. Billan and K. N. Henrichsen and H. Laeger and P. Lebrun and R. Perin and S. Pichler and P. Pugin and L. Resegotti and P. Rohmig and T. Tortschanoff and A. Verdier and L. Walckiers and R. Wolf	3179	3181	3179-3181
3182	Plans for the {LEP} Control System	R. Keyser and J. P. Koutchouk and C. R. C. B. Parker and J. Pett and P. Wolstenholme	3182	3184	3182-3184
3185	Implications of the Low Field Levels in the {LEP} Magnets	J. P. Gourber and L. Resegotti	3185	3187	3185-3187
3188	Injector for {LEP}	P. Brunet and O. Gröbner and K. Hübner and A. Hutton and G. Le Meur and L. Melard and B. Mouton and H. O'Hanlon and M. Renard and J. C. Schnuriger and M. Sommer and L. Vos and C. Wyss	3188	3190	3188-3190
3191	Low Energy Kaon Beam Lines at {KEK}	H. Hirabayashi and S. Kurokawa and A. Kusumegi and A. Yamamoto	3191	3193	3191-3193
3194	A High Flux Muon Channel Incorporating a High Quality Spectrometer Field	D. E. Lobb	3194	3196	3194-3196
3197	“Cloud” and “Surface” Muon Beam Characteristics	O. B. van Dyck and J. K. Black and E. W. Hoffman and R. J. Macek and G. Sanders and R. D. Werbeck	3197	3199	3197-3199
